Scribe: Realistic Handriting in Tensorflow
     by Sam Greydanus



TRAINING MODE...
Namespace(alphabet=' abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ', batch_size=32, bias=1.0, data_dir='./data', data_scale=50, decay=0.95, dropout=0.85, grad_clip=10.0, kmixtures=1, learning_rate=0.0001, log_dir='./logs/', lr_decay=1.0, momentum=0.9, nbatches=500, nepochs=250, nmixtures=8, optimizer='rmsprop', rnn_size=100, save_every=500, save_path='saved/model.ckpt', sleep_time=300, style=-1, text='', train=True, tsteps=150, tsteps_per_ascii=25)

loading data...
	loaded dataset:
		11315 train individual data points
		595 valid individual data points
		353 batches
building model...
	using alphabet abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ
attempt to load saved model...
loaded model: saved/model.ckpt-53500
training...
learning rate: 9.99999974738e-05
53510/125000, loss = -2.169, regloss = -0.21841, valid_loss = -1.937, time = 0.275
55310/125000, loss = -2.062, regloss = -2.09233, valid_loss = -1.908, time = 0.451
55320/125000, loss = -1.874, regloss = -2.08958, valid_loss = -1.900, time = 0.350
55330/125000, loss = -2.162, regloss = -2.09148, valid_loss = -1.888, time = 0.272
55340/125000, loss = -2.071, regloss = -2.08850, valid_loss = -1.915, time = 0.266
55350/125000, loss = -2.258, regloss = -2.09264, valid_loss = -1.893, time = 0.269
55360/125000, loss = -2.051, regloss = -2.09249, valid_loss = -1.936, time = 0.269
55370/125000, loss = -2.119, regloss = -2.09146, valid_loss = -1.908, time = 0.478
55380/125000, loss = -1.985, regloss = -2.08674, valid_loss = -1.937, time = 0.403
55390/125000, loss = -2.120, regloss = -2.09125, valid_loss = -1.905, time = 0.279
55400/125000, loss = -2.212, regloss = -2.08845, valid_loss = -1.901, time = 0.267
55410/125000, loss = -2.034, regloss = -2.08677, valid_loss = -1.901, time = 0.267
55420/125000, loss = -2.062, regloss = -2.08777, valid_loss = -1.932, time = 0.271
55430/125000, loss = -2.118, regloss = -2.09270, valid_loss = -1.886, time = 0.482
55440/125000, loss = -2.214, regloss = -2.09380, valid_loss = -1.920, time = 0.403
55450/125000, loss = -1.781, regloss = -2.08775, valid_loss = -1.870, time = 0.271
55460/125000, loss = -2.020, regloss = -2.08626, valid_loss = -1.915, time = 0.268
55470/125000, loss = -1.996, regloss = -2.08162, valid_loss = -1.909, time = 0.266
55480/125000, loss = -2.211, regloss = -2.08647, valid_loss = -1.935, time = 0.272
55490/125000, loss = -2.039, regloss = -2.09020, valid_loss = -1.915, time = 0.477
learning rate: 9.99999974738e-05
SAVED MODEL
55500/125000, loss = -2.079, regloss = -2.09182, valid_loss = -1.943, time = 0.289
55510/125000, loss = -1.983, regloss = -2.08678, valid_loss = -1.895, time = 0.267
55520/125000, loss = -2.076, regloss = -2.09288, valid_loss = -1.903, time = 0.270
55530/125000, loss = -2.155, regloss = -2.09240, valid_loss = -1.893, time = 0.275
55540/125000, loss = -1.936, regloss = -2.09096, valid_loss = -1.947, time = 0.267
55550/125000, loss = -2.076, regloss = -2.09216, valid_loss = -1.909, time = 0.270
55560/125000, loss = -2.120, regloss = -2.09242, valid_loss = -1.949, time = 0.269
55570/125000, loss = -2.079, regloss = -2.09208, valid_loss = -1.893, time = 0.267
55580/125000, loss = -1.928, regloss = -2.08407, valid_loss = -1.903, time = 0.270
55590/125000, loss = -2.019, regloss = -2.07901, valid_loss = -1.872, time = 0.368
55600/125000, loss = -2.113, regloss = -2.07630, valid_loss = -1.897, time = 0.402
55610/125000, loss = -2.072, regloss = -2.07634, valid_loss = -1.877, time = 0.282
55620/125000, loss = -2.107, regloss = -2.07626, valid_loss = -1.918, time = 0.271
55630/125000, loss = -2.042, regloss = -2.07578, valid_loss = -1.917, time = 0.408
55640/125000, loss = -2.136, regloss = -2.07462, valid_loss = -1.926, time = 0.274
55650/125000, loss = -2.112, regloss = -2.07418, valid_loss = -1.887, time = 0.266
55660/125000, loss = -2.262, regloss = -2.08057, valid_loss = -1.900, time = 0.266
55670/125000, loss = -2.119, regloss = -2.08375, valid_loss = -1.857, time = 0.283
55680/125000, loss = -2.095, regloss = -2.08403, valid_loss = -1.865, time = 0.479
55690/125000, loss = -2.010, regloss = -2.08054, valid_loss = -1.894, time = 0.410
55700/125000, loss = -2.151, regloss = -2.08019, valid_loss = -1.898, time = 0.270
55710/125000, loss = -1.947, regloss = -2.07668, valid_loss = -1.915, time = 0.361
55720/125000, loss = -2.141, regloss = -2.07606, valid_loss = -1.932, time = 0.314
55730/125000, loss = -2.289, regloss = -2.08302, valid_loss = -1.913, time = 0.271
55740/125000, loss = -2.044, regloss = -2.08139, valid_loss = -1.904, time = 0.266
55750/125000, loss = -1.990, regloss = -2.08119, valid_loss = -1.946, time = 0.271
55760/125000, loss = -2.101, regloss = -2.07782, valid_loss = -1.920, time = 0.270
55770/125000, loss = -1.982, regloss = -2.07946, valid_loss = -1.899, time = 0.478
55780/125000, loss = -2.081, regloss = -2.07410, valid_loss = -1.892, time = 0.408
55790/125000, loss = -2.072, regloss = -2.07317, valid_loss = -1.870, time = 0.269
55800/125000, loss = -2.082, regloss = -2.06623, valid_loss = -1.884, time = 0.274
55810/125000, loss = -2.158, regloss = -2.06518, valid_loss = -1.918, time = 0.271
55820/125000, loss = -2.079, regloss = -2.06597, valid_loss = -1.923, time = 0.271
55830/125000, loss = -2.106, regloss = -2.06774, valid_loss = -1.939, time = 0.267
55840/125000, loss = -2.112, regloss = -2.06910, valid_loss = -1.913, time = 0.267
55850/125000, loss = -1.997, regloss = -2.07192, valid_loss = -1.931, time = 0.269
55860/125000, loss = -1.977, regloss = -2.07302, valid_loss = -1.912, time = 0.481
55870/125000, loss = -2.234, regloss = -2.07257, valid_loss = -1.917, time = 0.409
55880/125000, loss = -2.288, regloss = -2.07802, valid_loss = -1.909, time = 0.269
55890/125000, loss = -2.019, regloss = -2.07889, valid_loss = -1.948, time = 0.307
55900/125000, loss = -2.120, regloss = -2.08105, valid_loss = -1.889, time = 0.360
55910/125000, loss = -2.058, regloss = -2.08255, valid_loss = -1.898, time = 0.272
55920/125000, loss = -2.076, regloss = -2.08510, valid_loss = -1.915, time = 0.404
55930/125000, loss = -2.054, regloss = -2.08383, valid_loss = -1.921, time = 0.269
55940/125000, loss = -2.053, regloss = -2.08529, valid_loss = -1.894, time = 0.276
55950/125000, loss = -2.183, regloss = -2.08691, valid_loss = -1.908, time = 0.267
55960/125000, loss = -2.201, regloss = -2.08840, valid_loss = -1.922, time = 0.269
55970/125000, loss = -2.111, regloss = -2.08595, valid_loss = -1.918, time = 0.296
55980/125000, loss = -1.936, regloss = -2.08769, valid_loss = -1.916, time = 0.407
55990/125000, loss = -2.338, regloss = -2.09032, valid_loss = -1.918, time = 0.272
learning rate: 9.99999974738e-05
SAVED MODEL
56000/125000, loss = -2.063, regloss = -2.09014, valid_loss = -1.892, time = 0.295
56010/125000, loss = -2.251, regloss = -2.09735, valid_loss = -1.917, time = 0.272
56020/125000, loss = -2.034, regloss = -2.09485, valid_loss = -1.911, time = 0.471
56030/125000, loss = -2.074, regloss = -2.09221, valid_loss = -1.913, time = 0.393
56040/125000, loss = -2.083, regloss = -2.08921, valid_loss = -1.905, time = 0.272
56050/125000, loss = -2.001, regloss = -2.09034, valid_loss = -1.922, time = 0.405
56060/125000, loss = -1.927, regloss = -2.08361, valid_loss = -1.898, time = 0.278
56070/125000, loss = -2.258, regloss = -2.08125, valid_loss = -1.903, time = 0.267
56080/125000, loss = -2.041, regloss = -2.07676, valid_loss = -1.902, time = 0.268
56090/125000, loss = -2.092, regloss = -2.07888, valid_loss = -1.898, time = 0.273
56100/125000, loss = -1.948, regloss = -2.07692, valid_loss = -1.902, time = 0.268
56110/125000, loss = -2.036, regloss = -2.08128, valid_loss = -1.919, time = 0.267
56120/125000, loss = -1.989, regloss = -2.07968, valid_loss = -1.912, time = 0.277
56130/125000, loss = -2.420, regloss = -2.08484, valid_loss = -1.924, time = 0.285
56140/125000, loss = -2.101, regloss = -2.08315, valid_loss = -1.890, time = 0.411
56150/125000, loss = -2.152, regloss = -2.08540, valid_loss = -1.891, time = 0.270
56160/125000, loss = -2.002, regloss = -2.08528, valid_loss = -1.902, time = 0.271
56170/125000, loss = -2.133, regloss = -2.08741, valid_loss = -1.911, time = 0.267
56180/125000, loss = -2.073, regloss = -2.08960, valid_loss = -1.906, time = 0.272
56190/125000, loss = -2.170, regloss = -2.09045, valid_loss = -1.910, time = 0.268
56200/125000, loss = -1.950, regloss = -2.08754, valid_loss = -1.900, time = 0.475
56210/125000, loss = -2.084, regloss = -2.08793, valid_loss = -1.914, time = 0.407
56220/125000, loss = -2.290, regloss = -2.09079, valid_loss = -1.914, time = 0.269
56230/125000, loss = -2.056, regloss = -2.08759, valid_loss = -1.852, time = 0.266
56240/125000, loss = -1.835, regloss = -2.07611, valid_loss = -1.888, time = 0.267
56250/125000, loss = -2.025, regloss = -2.07890, valid_loss = -1.883, time = 0.270
56260/125000, loss = -1.960, regloss = -2.07302, valid_loss = -1.894, time = 0.267
56270/125000, loss = -2.220, regloss = -2.07858, valid_loss = -1.943, time = 0.269
56280/125000, loss = -2.259, regloss = -2.08040, valid_loss = -1.929, time = 0.269
56290/125000, loss = -2.124, regloss = -2.08037, valid_loss = -1.930, time = 0.267
56300/125000, loss = -2.089, regloss = -2.08181, valid_loss = -1.898, time = 0.266
56310/125000, loss = -2.239, regloss = -2.08356, valid_loss = -1.897, time = 0.269
56320/125000, loss = -2.053, regloss = -2.08299, valid_loss = -1.901, time = 0.481
56330/125000, loss = -2.059, regloss = -2.08475, valid_loss = -1.916, time = 0.404
56340/125000, loss = -2.127, regloss = -2.08641, valid_loss = -1.901, time = 0.270
56350/125000, loss = -1.982, regloss = -2.08719, valid_loss = -1.924, time = 0.266
56360/125000, loss = -2.101, regloss = -2.08609, valid_loss = -1.893, time = 0.274
56370/125000, loss = -2.219, regloss = -2.08439, valid_loss = -1.913, time = 0.271
56380/125000, loss = -2.131, regloss = -2.08973, valid_loss = -1.915, time = 0.476
56390/125000, loss = -2.106, regloss = -2.09072, valid_loss = -1.915, time = 0.404
56400/125000, loss = -2.030, regloss = -2.08501, valid_loss = -1.911, time = 0.271
56410/125000, loss = -2.068, regloss = -2.09036, valid_loss = -1.927, time = 0.271
56420/125000, loss = -2.142, regloss = -2.09039, valid_loss = -1.934, time = 0.291
56430/125000, loss = -1.955, regloss = -2.09273, valid_loss = -1.947, time = 0.272
56440/125000, loss = -2.053, regloss = -2.09463, valid_loss = -1.924, time = 0.487
56450/125000, loss = -2.000, regloss = -2.09711, valid_loss = -1.942, time = 0.405
56460/125000, loss = -2.040, regloss = -2.09720, valid_loss = -1.936, time = 0.271
56470/125000, loss = -2.036, regloss = -2.09753, valid_loss = -1.927, time = 0.289
56480/125000, loss = -2.056, regloss = -2.09923, valid_loss = -1.938, time = 0.296
56490/125000, loss = -2.067, regloss = -2.09690, valid_loss = -1.893, time = 0.272
learning rate: 9.99999974738e-05
SAVED MODEL
56500/125000, loss = -2.008, regloss = -2.09670, valid_loss = -1.910, time = 0.291
56510/125000, loss = -1.887, regloss = -2.09164, valid_loss = -1.890, time = 0.485
56520/125000, loss = -2.119, regloss = -2.09731, valid_loss = -1.863, time = 0.405
56530/125000, loss = -2.073, regloss = -2.09533, valid_loss = -1.892, time = 0.270
56540/125000, loss = -2.060, regloss = -2.09531, valid_loss = -1.902, time = 0.276
56550/125000, loss = -2.047, regloss = -2.09093, valid_loss = -1.908, time = 0.269
56560/125000, loss = -2.116, regloss = -2.09357, valid_loss = -1.888, time = 0.271
56570/125000, loss = -2.177, regloss = -2.08868, valid_loss = -1.934, time = 0.479
